u,v,length_m
678989830,2489287675,110.8486513395176
678989831,678989833,79.44372301923003
678989832,678989833,94.5188650576288
678989833,4203689689,80.21455207619842
678989864,6047450792,7.3035242098034985
678989864,9144372955,32.46623703468482
678989885,4345080190,193.51868017258428
1151314377,4381412245,85.89804274536696
1151314377,1838358314,52.64380051449907
1151314377,1319962140,125.30535016028608
1192945730,2676305051,65.30479557449705
1192945766,12833814308,58.58884320559301
1192959994,12833814304,57.92295754979905
1192959994,1717282356,48.825162033533736
1192959994,12833814308,31.61818661506802
1192959994,3825454543,104.57485382904129
1193564393,4344532852,205.34667642623646
1193564393,1273572575,42.90857775509853
1193564393,1815623578,75.35244677608036
1194106545,1319962140,92.29240392710363
1194106545,1838358309,24.090606847176012
1194106545,10083071014,195.2074126066222
1273464952,1838358306,67.91977255568966
1273572575,1815623571,72.60605855602542
1273591094,1273708291,100.86001919388674
1273634393,5005642838,43.40729965430742
1273634393,6128880516,59.45936018174379
1273708291,1838358302,45.70903946971707
1273708291,1838358297,47.13678109728818
1273787535,1815623566,59.39645003274288
1273787535,1815623582,99.78868091963045
1273787535,5524235598,61.362396299708145
1273880833,1273985047,80.85343995969198
1405227784,1839467992,28.68712967093579
1405227784,2489287674,241.12035927970857
1405227784,2489287674,242.4062509996741
1405227825,1839460740,110.56331435294607
1405227825,2980275499,222.89354239551355
1405227825,3672906437,11.32846949455157
1405227840,4337278600,135.89414177550054
1405227840,4345082542,589.9755235394578
1405227840,1839467984,637.8536767341037
1405227860,2489287674,17.398132059415303
1405227860,1839460740,177.90587349998526
1579083033,1579083034,101.78481885009812
1717282343,1949862586,232.12690754083422
1717282343,3825454543,38.317506351081505
1717282356,4684389805,56.47582635132821
1815623554,1815623578,171.8568181524849
1815623554,4381412253,138.47844102679488
1815623554,4344532852,97.51588942026952
1815623560,1815623566,101.95263894010672
1815623566,1815623586,82.95589647325889
1815623571,1815623586,93.96187128122392
1815623571,1815623578,43.38441828442664
1815623573,4343527370,48.185913158857815
1815623573,10028035066,40.62728655524246
1815623578,2676306773,120.90423535951106
1815623582,4343527370,56.17878883860271
1815623582,1815623586,55.728641114831326
1837245629,4346171737,7.311345080586388
1837245638,4266808690,31.42591788078545
1838358297,1838358302,24.115543161753266
1838358302,1838358306,69.64346907991958
1838358309,1838358314,100.46443762412578
1838358309,4381412278,59.396214315743926
1838358314,4381412243,60.46139674902292
1838358319,4344559504,9.77884648442362
1838358319,4381412256,81.45517195749304
1838358319,10083100522,5.984453666868342
1838358319,3831532711,78.93195115839869
1839460740,4266825894,4.6371910953670445
1839467984,4345082542,5.526460102084476
1839467984,4345082541,3.9586579809801243
1839467992,5343672123,200.49358687190335
2174297459,2174304703,131.83830503226932
2174297459,4266808709,152.54583724812915
2489287675,2980275499,7.534835526305636
2676305050,2676305051,93.83741641139676
2676306773,4343605734,6.7530754712371035
2887499830,2887499843,79.72300377845686
2887499842,2887499843,48.41757040035597
2887499843,4344761205,114.42489381882335
2980275446,2980275499,184.47793492321205
3316136608,12679339325,28.015299499025467
3316136608,13545515591,31.11417176046915
3316136608,10719594836,12.110703027529123
3672931639,3672931642,43.318445887716216
3672931645,4350283331,60.079650801961165
3831532709,4381412243,174.9289391083703
3831532711,4344559505,10.338668076249547
3831532711,10083100521,5.7640762678664785
3831532711,4344559506,38.82672160776584
3952821598,4384398038,185.77292628754563
3952821598,10721342953,322.00307568258194
3952827980,3974039004,60.53004536746084
3952827987,10719741850,114.16342745795438
3952828765,3952828770,63.4624243404598
3952828765,10719741850,19.28473571863398
4170825803,4345043384,33.02293015138582
4170825803,4381382032,67.46340972168053
4264094073,12833814304,21.811737396744814
4266807084,4266808690,11.756814617343549
4266807086,6138289266,110.66296970861411
4266807086,4266808690,9.473759501544464
4266808709,4345082542,5.867488688967186
4266825894,4346146371,19.3345188247315
4266831605,4266831608,21.032468087175943
4266831608,4344837181,52.26541486424641
4271742068,4271742070,102.23367597776623
4271747832,4345127084,18.68751392786233
4271747833,4271747836,76.58364263891133
4271747837,4271747838,55.447532077962904
4271747839,4345127069,6.732311294213001
4297316165,4297316167,15.889975011033739
4297316165,10028035064,14.592491092141271
4297316167,10028035064,7.807001754813274
4343527370,5524235598,114.82385163748181
4344559504,4344559505,78.82168215018825
4344559504,4381412253,76.76836353433688
4344559506,4381412245,64.64511160414825
4344675713,4344675721,31.55450920465357
4344675713,13506032313,57.58602772132173
4344837181,4344837187,19.357736033137137
4344969017,4344969018,83.75986326617594
4344969018,4346082928,34.670470502534315
4345043380,10083100521,4.881583741007176
4345043381,10083100522,2.6116700112788864
4345043382,10083100527,13.203234113210627
4345055745,4345080190,117.5048457065036
4345082541,13545515591,320.0550625933487
4350283331,4350283332,92.35421927256667
4350283331,4350283332,94.98524885350294
4381382032,10083100533,23.48419855002849
4381412243,4381412245,11.006430886283427
4381412243,10083100521,100.8884516177364
4381412245,4381412246,10.5865883933169
4381412253,4381412256,9.299032696180314
4381412256,10083100527,6.980815834142385
4381412264,10083100533,4.099186313501758
4384398038,5476366885,51.4068855110312
5005642838,5005642847,81.49652148983509
5005642838,7223959118,248.76004057993492
5005642847,6128880516,91.4966004805759
5343672123,9442845246,181.084269593137
5343672123,10028035065,178.809003867344
6128880192,7223959118,65.84238971581671
6128880192,7223959118,77.31235630302238
9442845246,10028035066,6.934480464493585
9442845246,9442845247,45.33055623901068
9442845246,10028035065,5.793799611633233
9442845247,10028035065,48.41014271958848
10028035064,10028035065,5.402717858654219
10083100521,10083100522,80.14247475977601
10083100522,10083100527,84.346393523324
10083100527,10083100533,148.51552816284303
10719594836,12620000350,35.79522251889819
10719741840,10719741850,25.97495134508017
11581437401,12834001579,5.072900394248653
12374206471,12876099458,9.200098885650306
12620000347,13175377675,28.81498566494885
12620000350,13175377681,44.756448096349494
12620000350,13545515591,13.880440331960946
12620000350,13175377675,41.580283719932176
12833814303,12833814304,27.002874915196333
12833814306,12833814308,52.44576475861148
13175377675,13175377681,52.47172334487198
13506032312,13506032313,53.86768546663592
