u,v,length_m
411852403,1273866456,71.98033917351952
411852405,411852406,21.270962928421973
411852405,411934893,60.86562647782251
411852405,6408241527,50.49663817444626
411852406,791159757,67.65396603173309
411852406,411934842,137.4835507797663
411852408,411852409,63.77323183230378
411852408,791159757,65.0254456647499
411852409,411852410,67.197640054321
411852410,10019476034,6.223928017648948
411852413,10023094895,10.766788064067413
411852413,13006613775,117.89048866178828
411852421,10024790156,7.210059477679512
411852421,411935465,13.856800266117443
411852434,10024790157,23.084713751836954
411852434,10404879256,64.72021619644437
411852434,411935466,44.55948713053488
411852445,4103896371,137.9684574928933
411852445,9198727720,47.01286862770369
411852445,10404879259,34.568531063550466
411852447,411852452,251.26058491875895
411852447,4103896337,297.28404383773784
411852452,4103896335,11.890861074798039
411852453,2833168171,187.85473718955734
411852453,4003418801,17.482398013661154
411852454,791159996,89.40044740116689
411852454,6489455799,9.739059279259275
411934842,4356341631,12.412795449451153
411934842,411934844,79.04066916376027
411934844,2974860565,18.998135756652374
411934856,4356300260,14.050343783678594
411934856,411935439,169.60879957110106
411934856,4356300264,23.71031580351793
411934860,495672266,17.871142739360184
411934860,4356562309,163.46310598337988
411934860,411934874,17.825612427170974
411934860,411935439,11.763590641893442
411934874,2840658981,11.541122268178489
411934874,791160242,19.64870270755387
411934874,4356286913,96.41470574531263
411934884,4356300261,132.33096666802234
411934884,4357682380,36.36526879834044
411934884,2840658981,60.92317330520681
411934887,4357682592,28.712238684943134
411934887,411934891,55.43936089390502
411934887,4356300268,15.319615933482478
411934891,4357682597,28.576806578319086
411934893,411934904,167.084275661202
411934893,1273866456,69.14191572180206
411934904,411941280,55.06123358637233
411934904,2974860565,13.322547971060818
411935436,411935448,12.017487804300616
411935436,411935437,61.30938467074918
411935437,4356562298,11.437594613339394
411935437,411935438,193.3453642783858
411935437,10039792135,25.106831185470913
411935438,10019476030,23.413438835293924
411935438,411935439,68.28190347764723
411935439,2840658981,18.106499961681077
411935451,4103904082,71.3204822300846
411935451,411935453,42.20797138592478
411935451,7310409416,9.72485180340328
411935453,411935459,286.83984783712623
411935453,6128970033,49.21386990402638
411935459,411935460,15.528493865695149
411935459,4337767279,33.22096896355651
411935459,5835252253,24.52278780550037
411935460,4284967346,84.88131364476209
411935460,4337767280,33.09622132994703
411935465,411935466,14.597861278922686
411935465,4103904084,7.006417131315496
411935466,4103904085,7.078179875046741
411941280,411941524,55.32034474157496
411941280,411941422,10.346160065348517
411941280,411941309,134.04764055024336
411941309,4356341641,36.49018360821058
411941309,411941726,57.41996321593755
411941309,4356341640,9.170168646037025
411941313,4356341646,10.051843054067012
411941313,3394759570,36.74642364048253
411941313,3394759580,128.63103093076222
411941313,4356341641,93.64781876312823
411941342,411941370,14.022111478652253
411941342,412184999,37.98854181483353
411941342,411941345,90.02164259797784
411941342,3394759578,78.74381304892549
411941345,411941363,12.950434730555687
411941345,412189078,215.11103880774616
411941345,412185120,78.39571394676916
411941363,412189175,59.54775014265461
411941363,411941370,99.47691554613681
411941363,412189084,207.9939921337629
411941363,412189173,57.46868366757788
411941370,411941373,93.39204128068707
411941370,412189119,72.45794861352583
411941373,3394759580,10.787425724599185
411941373,4356341646,136.60004214983775
411941373,412189110,55.745542544462616
411941393,4356341641,9.110997611631008
411941393,4356341640,37.03688027525081
411941393,411941607,46.582532605738535
411941393,4356341646,89.31607996339565
411941422,411941518,56.168473234437336
411941422,4356341640,137.37590763256617
411941462,1273882974,60.79039654683074
411941462,411941518,148.8640922442144
411941465,411941473,87.69509158486413
411941465,1273882974,25.22966946783603
411941465,1273586940,32.68943376892197
411941473,5874072772,106.53617919471304
411941473,5874072954,57.315010936315886
411941518,411941593,46.21675795060363
411941524,1273866456,119.82323865387276
411941524,411941718,65.81993134857042
411941593,411941600,52.05400476493712
411941593,411941619,98.73895323919153
411941600,5874072972,65.21884543610372
411941600,412189105,122.77853030340754
411941607,5874072972,36.001929489353635
411941607,5874072971,40.18258177590617
411941619,1273586940,58.992947859324644
411941619,5874072954,142.95984512057086
411941649,412189107,69.98043206175987
411941649,5874072954,101.00235872675742
411941718,411941726,53.235353672638205
411941726,411941732,56.55109343917541
411941726,411941814,247.41025241483626
411941732,411941736,78.9764871343283
411941732,3394772657,32.26607088413947
411941736,3394759570,22.32120634896354
411941736,3394759572,39.69851509931101
411941776,411941814,55.11647196269633
411941776,411941799,83.72349937489886
411941799,411941910,55.38257822385599
411941799,411942042,138.46385696667866
411941814,411942012,52.696987116231966
411941865,411941902,52.94581228040775
411941865,411941873,131.2166535263528
411941865,10019476028,9.340135457595379
411941865,411941895,61.46446879965768
411941873,411941880,36.62035758719486
411941873,10943403715,35.12031840921399
411941880,10943403715,21.723186622694854
411941880,411941966,75.76646732361694
411941895,3342114051,12.248878688238989
