cid,lat,lng,district
261,-12.1556757,-77.0189417,Barranco
262,-12.1556757,-77.0182045,Barranco
263,-12.1556757,-77.0174672,Barranco
264,-12.1556757,-77.01673,Barranco
265,-12.1556757,-77.0159928,Barranco
266,-12.1556757,-77.0152556,Barranco
267,-12.1556757,-77.0145184,Barranco
268,-12.1556757,-77.0137811,Barranco
269,-12.1556757,-77.0130439,Barranco
270,-12.1556757,-77.0123067,Barranco
271,-12.1556757,-77.0115695,Barranco
272,-12.1556757,-77.0108323,Barranco
273,-12.1556757,-77.010095,Barranco
274,-12.1556757,-77.0093578,Barranco
275,-12.1556757,-77.0086206,Barranco
276,-12.1556757,-77.0078834,Barranco
277,-12.1556757,-77.0071461,Barranco
278,-12.1556757,-77.0064089,Barranco
279,-12.1556757,-77.0056717,Barranco
280,-12.1556757,-77.0049345,Barranco
281,-12.1556757,-77.0041973,Barranco
282,-12.1556757,-77.00346,Barranco
283,-12.1556757,-77.0027228,Barranco
284,-12.1556757,-77.0019856,Barranco
285,-12.1556757,-77.0012484,Barranco
286,-12.1556757,-77.0005112,Barranco
287,-12.154955,-77.03,Barranco
288,-12.154955,-77.0292628,Barranco
289,-12.154955,-77.0285256,Barranco
290,-12.154955,-77.0277883,Barranco
291,-12.154955,-77.0270511,Barranco
292,-12.154955,-77.0263139,Barranco
293,-12.154955,-77.0255767,Barranco
294,-12.154955,-77.0248395,Barranco
295,-12.154955,-77.0241022,Barranco
296,-12.154955,-77.023365,Barranco
297,-12.154955,-77.0226278,Barranco
298,-12.154955,-77.0218906,Barranco
299,-12.154955,-77.0211533,Barranco
300,-12.154955,-77.0204161,Barranco
301,-12.154955,-77.0196789,Barranco
302,-12.154955,-77.0189417,Barranco
303,-12.154955,-77.0182045,Barranco
304,-12.154955,-77.0174672,Barranco
305,-12.154955,-77.01673,Barranco
306,-12.154955,-77.0159928,Barranco
307,-12.154955,-77.0152556,Barranco
308,-12.154955,-77.0145184,Barranco
309,-12.154955,-77.0137811,Barranco
310,-12.154955,-77.0130439,Barranco
311,-12.154955,-77.0123067,Barranco
312,-12.154955,-77.0115695,Barranco
313,-12.154955,-77.0108323,Barranco
314,-12.154955,-77.010095,Barranco
315,-12.154955,-77.0093578,Barranco
316,-12.154955,-77.0086206,Barranco
317,-12.154955,-77.0078834,Barranco
318,-12.154955,-77.0071461,Barranco
319,-12.154955,-77.0064089,Barranco
320,-12.154955,-77.0056717,Barranco
321,-12.154955,-77.0049345,Barranco
322,-12.154955,-77.0041973,Barranco
323,-12.154955,-77.00346,Barranco
324,-12.154955,-77.0027228,Barranco
325,-12.154955,-77.0019856,Barranco
326,-12.154955,-77.0012484,Barranco
327,-12.154955,-77.0005112,Barranco
328,-12.1542342,-77.03,Barranco
329,-12.1542342,-77.0292628,Barranco
330,-12.1542342,-77.0285256,Barranco
331,-12.1542342,-77.0277883,Barranco
332,-12.1542342,-77.0270511,Barranco
333,-12.1542342,-77.0263139,Barranco
334,-12.1542342,-77.0255767,Barranco
335,-12.1542342,-77.0248395,Barranco
336,-12.1542342,-77.0241022,Barranco
337,-12.1542342,-77.023365,Barranco
338,-12.1542342,-77.0226278,Barranco
339,-12.1542342,-77.0218906,Barranco
340,-12.1542342,-77.0211533,Barranco
341,-12.1542342,-77.0204161,Barranco
342,-12.1542342,-77.0196789,Barranco
343,-12.1542342,-77.0189417,Barranco
344,-12.1542342,-77.0182045,Barranco
345,-12.1542342,-77.0174672,Barranco
346,-12.1542342,-77.01673,Barranco
347,-12.1542342,-77.0159928,Barranco
348,-12.1542342,-77.0152556,Barranco
349,-12.1542342,-77.0145184,Barranco
350,-12.1542342,-77.0137811,Barranco
351,-12.1542342,-77.0130439,Barranco
352,-12.1542342,-77.0123067,Barranco
353,-12.1542342,-77.0115695,Barranco
354,-12.1542342,-77.0108323,Barranco
355,-12.1542342,-77.010095,Barranco
356,-12.1542342,-77.0093578,Barranco
357,-12.1542342,-77.0086206,Barranco
358,-12.1542342,-77.0078834,Barranco
359,-12.1542342,-77.0071461,Barranco
360,-12.1542342,-77.0064089,Barranco
361,-12.1542342,-77.0056717,Barranco
362,-12.1542342,-77.0049345,Barranco
363,-12.1542342,-77.0041973,Barranco
364,-12.1542342,-77.00346,Barranco
365,-12.1542342,-77.0027228,Barranco
366,-12.1542342,-77.0019856,Barranco
367,-12.1542342,-77.0012484,Barranco
368,-12.1542342,-77.0005112,Barranco
369,-12.1535135,-77.03,Barranco
370,-12.1535135,-77.0292628,Barranco
371,-12.1535135,-77.0285256,Barranco
372,-12.1535135,-77.0277883,Barranco
373,-12.1535135,-77.0270511,Barranco
374,-12.1535135,-77.0263139,Barranco
375,-12.1535135,-77.0255767,Barranco
376,-12.1535135,-77.0248395,Barranco
377,-12.1535135,-77.0241022,Barranco
378,-12.1535135,-77.023365,Barranco
379,-12.1535135,-77.0226278,Barranco
380,-12.1535135,-77.0218906,Barranco
381,-12.1535135,-77.0211533,Barranco
382,-12.1535135,-77.0204161,Barranco
383,-12.1535135,-77.0196789,Barranco
384,-12.1535135,-77.0189417,Barranco
385,-12.1535135,-77.0182045,Barranco
386,-12.1535135,-77.0174672,Barranco
387,-12.1535135,-77.01673,Barranco
388,-12.1535135,-77.0159928,Barranco
389,-12.1535135,-77.0152556,Barranco
390,-12.1535135,-77.0145184,Barranco
391,-12.1535135,-77.0137811,Barranco
392,-12.1535135,-77.0130439,Barranco
393,-12.1535135,-77.0123067,Barranco
394,-12.1535135,-77.0115695,Barranco
395,-12.1535135,-77.0108323,Barranco
396,-12.1535135,-77.010095,Barranco
397,-12.1535135,-77.0093578,Barranco
398,-12.1535135,-77.0086206,Barranco
399,-12.1535135,-77.0078834,Barranco
400,-12.1535135,-77.0071461,Barranco
401,-12.1535135,-77.0064089,Barranco
402,-12.1535135,-77.0056717,Barranco
403,-12.1535135,-77.0049345,Barranco
404,-12.1535135,-77.0041973,Barranco
405,-12.1535135,-77.00346,Barranco
406,-12.1535135,-77.0027228,Barranco
407,-12.1535135,-77.0019856,Barranco
408,-12.1535135,-77.0012484,Barranco
409,-12.1535135,-77.0005112,Barranco
410,-12.1527928,-77.03,Barranco
411,-12.1527928,-77.0292628,Barranco
412,-12.1527928,-77.0285256,Barranco
413,-12.1527928,-77.0277883,Barranco
414,-12.1527928,-77.0270511,Barranco
415,-12.1527928,-77.0263139,Barranco
416,-12.1527928,-77.0255767,Barranco
417,-12.1527928,-77.0248395,Barranco
418,-12.1527928,-77.0241022,Barranco
