YEAR,DISTRITO,cluster,centroid_x,centroid_y,n_puntos,centroid_lon,centroid_lat
2018,San Isidro,30,-8574384.246759577,-1356402.3641309456,9,-77.02500420777778,-12.093949760045438
2018,San Isidro,31,-8576059.332858017,-1356323.0834654348,18,-77.04005176222223,-12.093253375606636
2018,San Isidro,32,-8575648.912119618,-1357098.679212642,23,-77.03636488999999,-12.100065965129549
2018,San Isidro,33,-8576725.800673014,-1356590.2978453464,47,-77.04603874446808,-12.09560052242223
2018,San Isidro,34,-8576443.93882419,-1356337.267538241,25,-77.04350673639999,-12.093377965606955
2018,San Isidro,35,-8575395.356290223,-1356308.8728104879,13,-77.03408715923076,-12.093128552056001
2018,San Isidro,36,-8574741.443423036,-1356782.9955607534,24,-77.02821296,-12.097293120000007
2018,San Isidro,37,-8574792.546543619,-1356729.0684903262,14,-77.02867202714286,-12.09681944224776
2018,San Isidro,38,-8575541.497835834,-1356704.6179678184,28,-77.03539997107144,-12.096604676576948
2018,San Isidro,39,-8575066.83433728,-1357284.1600722382,57,-77.0311359963158,-12.101695145036839
2018,San Isidro,40,-8574929.76081213,-1356163.9041920544,18,-77.02990464388888,-12.091855173379534
2018,San Isidro,41,-8575167.224215928,-1356209.9814403849,33,-77.03203781393941,-12.092259908427827
2018,San Isidro,42,-8575193.307452083,-1356964.4346026154,44,-77.03227212363636,-12.098886815049612
2018,San Isidro,43,-8575249.642996745,-1356479.149736843,9,-77.03277819444446,-12.094624226684429
2018,San Isidro,44,-8575379.317394044,-1356780.0402902274,16,-77.03394307937499,-12.097267161891828
2018,San Isidro,45,-8575155.257033335,-1356760.664350369,11,-77.03193031090909,-12.09709697005221
2018,San Isidro,46,-8575257.947245223,-1356657.539602573,18,-77.03285279277777,-12.096191154593088
2019,La Victoria,0,-8573004.3689778,-1355791.785896298,21,-77.01260855476191,-12.088586524402215
2019,La Victoria,1,-8573595.730004603,-1355898.4738280035,24,-77.01792084125,-12.089523664345721
2019,La Victoria,2,-8573428.63552491,-1355405.0542247663,20,-77.016419806,-12.085189470708539
2019,La Victoria,3,-8574182.556405442,-1355840.4827252377,12,-77.0231923925,-12.089014274628893
2019,La Victoria,4,-8574310.584673505,-1355565.775580477,18,-77.02434249000001,-12.08660125345304
2019,La Victoria,5,-8572551.488672955,-1354897.1353825126,17,-77.00854026176472,-12.080727842553182
2019,La Victoria,6,-8572417.978661973,-1355229.666504756,43,-77.00734092093025,-12.083648849541278
2019,La Victoria,7,-8573978.476553703,-1353996.5384670598,10,-77.02135911200001,-12.072816694021766
2019,La Victoria,8,-8573694.788199378,-1354944.297954878,13,-77.01881069615385,-12.081142128132193
2019,La Victoria,9,-8573417.458491437,-1355062.7287110982,10,-77.01631940100002,-12.082182445032753
2019,La Victoria,10,-8572809.469030881,-1355379.9039406101,16,-77.01085773875,-12.084968548943943
2019,La Victoria,11,-8573170.831454406,-1355178.9746964746,19,-77.01410391263158,-12.083203566584194
2019,La Victoria,12,-8572945.828867083,-1355269.7861204685,14,-77.01208268,-12.08400126455871
2019,La Victoria,13,-8574470.889935158,-1355081.4983223423,27,-77.02578253666668,-12.08234732027681
2019,La Victoria,14,-8574077.61276234,-1354800.785784933,35,-77.02224966771429,-12.079881486198913
2019,La Victoria,15,-8574483.87182864,-1354354.8003527543,12,-77.02589915499999,-12.075963815839302
2019,La Victoria,16,-8575267.655609732,-1352936.4507262646,20,-77.03294000449999,-12.063504224667234
2019,La Victoria,17,-8574847.089070704,-1354221.4249550565,10,-77.02916199100001,-12.074792195042265
2019,La Victoria,18,-8574693.528960397,-1354387.581643921,17,-77.02778253705883,-12.076251778525753
2019,La Victoria,19,-8573986.523431519,-1354213.3026983414,12,-77.02143139833333,-12.074720845849434
2019,La Victoria,20,-8574221.443603406,-1354241.0650615876,14,-77.02354172214287,-12.07496472161451
2019,La Victoria,21,-8574864.869910328,-1352894.4099350718,20,-77.029321719,-12.06313490556683
2019,La Victoria,22,-8574684.932751453,-1352883.4606037266,10,-77.02770531600001,-12.063038718016648
2019,La Victoria,23,-8573772.662296586,-1353674.6609899122,28,-77.01951025107144,-12.069989156491083
2019,La Victoria,24,-8575202.487363292,-1352637.8911801458,11,-77.03235458818182,-12.060881433724619
2019,La Victoria,25,-8575242.149463376,-1352500.9941744143,9,-77.03271087888889,-12.05967881001836
2019,La Victoria,26,-8574784.973796716,-1353385.6758747632,13,-77.028604,-12.067450536987607
2019,La Victoria,27,-8574628.663386792,-1353327.4218161476,33,-77.02719983969698,-12.066938795298325
2019,La Victoria,28,-8574898.556070235,-1353845.7698775223,13,-77.02962432692308,-12.071492268798647
2019,La Victoria,29,-8574743.643891314,-1353692.2682683761,14,-77.02823272714286,-12.070143828664623
2019,La Victoria,30,-8571829.196969872,-1353827.8048785476,12,-77.00205180500001,-12.071334455001548
2019,La Victoria,31,-8574810.046656692,-1353181.1997928105,15,-77.02882923333334,-12.065654281261747
2019,La Victoria,32,-8574227.196356146,-1352367.434594668,9,-77.0235934,-12.058505499999994
2019,La Victoria,33,-8575012.786574276,-1353239.2289985712,10,-77.03065047700001,-12.066164050141683
2019,La Victoria,34,-8574974.701109003,-1353401.4546476929,18,-77.03030834944443,-12.067589147863982
2019,La Victoria,35,-8574871.449792067,-1352697.0566765778,24,-77.02938082708333,-12.061401193815145
2019,La Victoria,36,-8574657.68507969,-1352719.9497756867,10,-77.027460546,-12.061602306017157
2019,La Victoria,37,-8573953.190943625,-1352755.159545787,12,-77.0211319675,-12.061911617902986
2019,La Victoria,38,-8574322.126030933,-1352534.5775093427,9,-77.02444616777777,-12.059973836069885
2019,La Victoria,39,-8574190.63936278,-1352774.7238958098,17,-77.02326500294117,-12.062083487260626
2019,La Victoria,40,-8573807.21021719,-1352344.3113941057,31,-77.01982060032257,-12.058302364047133
2019,La Victoria,41,-8572983.757795785,-1354735.1586738126,22,-77.01242340136363,-12.079305001485903
2019,La Victoria,42,-8572357.81816601,-1354109.6359551984,26,-77.00680049,-12.073810193519108
2019,La Victoria,43,-8573593.52017356,-1352671.3253599925,20,-77.01790099,-12.061175148148001
2019,La Victoria,44,-8573033.515938379,-1354557.8878449155,11,-77.01287038636364,-12.077747804644837
2019,La Victoria,45,-8572236.163539333,-1352686.9932781928,19,-77.00570764789472,-12.06131278842748
2019,La Victoria,46,-8572372.698118655,-1352622.3331918737,9,-77.00693415888888,-12.060744758943237
2019,La Victoria,47,-8572628.69340095,-1354306.9958929224,11,-77.00923380363636,-12.07554388366517
2019,La Victoria,48,-8572733.051599672,-1354420.2935793567,14,-77.01017126928572,-12.07653913165778
2019,La Victoria,49,-8573805.10007752,-1352962.126993546,13,-77.01980164461538,-12.063729784775507
2019,La Victoria,50,-8571872.908361413,-1353637.846000165,27,-77.00244447111112,-12.069665752759215
2019,La Victoria,51,-8572204.221961401,-1353810.5153321093,11,-77.00542071181818,-12.071182574639394
2019,La Victoria,52,-8571384.152221031,-1353229.285544707,10,-76.9980539,-12.066076700000004
2019,La Victoria,53,-8571440.275055509,-1353202.146792051,16,-76.99855805999998,-12.065838294375302
2019,La Victoria,54,-8571500.849278126,-1353454.8087884148,16,-76.99910220749999,-12.068057844375248
2019,La Victoria,55,-8571295.616689205,-1353352.6778699697,28,-76.99725857178572,-12.06716066108664
2019,La Victoria,56,-8571353.888427181,-1353364.7764490556,14,-76.99778203571428,-12.067266942897804
2019,La Victoria,57,-8571686.922514075,-1353597.603104455,22,-77.00077373181819,-12.069312235912353
2019,La Victoria,58,-8571578.819490336,-1353517.6378665306,36,-76.99980262583333,-12.068609773677162
2019,La Victoria,59,-8572611.255568592,-1354034.2274733325,26,-77.00907715692307,-12.073147771711481
2019,La Victoria,60,-8571880.35283999,-1352874.0958948513,20,-77.00251134599999,-12.062956451010894
2019,La Victoria,61,-8572007.436051557,-1352867.5586972267,23,-77.00365295391305,-12.062899023084212
2019,La Victoria,62,-8571637.282724341,-1353050.5006986521,10,-77.00032780999999,-12.064506126017985
2019,La Victoria,63,-8571591.33157989,-1353010.3576197024,13,-76.99991502384616,-12.064153479230978
2019,La Victoria,64,-8571674.862700174,-1352933.580836538,9,-77.00066539666668,-12.063479013333627
2019,La Victoria,65,-8571667.23323334,-1352943.2449067372,11,-77.00059686,-12.063563910000006
2019,La Victoria,66,-8571672.442985509,-1352941.708156584,11,-77.00064366,-12.063550410000003
2019,La Victoria,67,-8573646.285719924,-1353093.3302151712,31,-77.01837499096773,-12.06488237196749
2019,La Victoria,68,-8572293.199599255,-1353465.4461109026,13,-77.00622001153846,-12.068151289244621
2019,La Victoria,69,-8572239.767980747,-1353414.02065793,14,-77.00574002714286,-12.067699535717972
2019,La Victoria,70,-8573474.386119995,-1353601.8731994051,17,-77.01683079058823,-12.069349746915618
2019,La Victoria,71,-8572188.848611537,-1353303.3021413668,15,-77.00528261066667,-12.06672691203948
2019,La Victoria,72,-8572445.180143911,-1353250.896348311,30,-77.007585276,-12.066266544134796
2019,La Victoria,73,-8572093.77904835,-1353029.0655595504,16,-77.00442858625001,-12.06431782380465
2019,La Victoria,74,-8572098.4777342,-1353184.1997918512,19,-77.00447079526316,-12.065680635362403
2019,La Victoria,75,-8571997.118401863,-1353083.040547471,9,-77.00356026888889,-12.064791980012496
2019,La Victoria,76,-8572053.1092609,-1353101.9489277413,12,-77.00406324333332,-12.064958085008975
2019,La Victoria,77,-8572873.77926578,-1353857.982051925,31,-77.01143544741934,-12.071599546770797
2019,La Victoria,78,-8573387.58444965,-1354058.2302018618,24,-77.01605103791665,-12.073358622584339
2019,La Victoria,79,-8572846.255516013,-1354252.5501245987,19,-77.01118819736843,-12.075065610962483
2019,La Victoria,80,-8572838.52182549,-1354050.4282527405,18,-77.01111872444444,-12.07329008673671
2019,La Victoria,81,-8573240.418533627,-1354132.6741860313,10,-77.014729024,-12.074012571308723
2019,La Victoria,82,-8572422.0119255,-1352900.7584817375,17,-77.00737715235294,-12.063190676185041
2019,La Victoria,83,-8573151.63440567,-1353980.065276896,23,-77.01393146260871,-12.072671985760001
2019,La Victoria,84,-8573024.768047994,-1353914.0937609333,22,-77.01279180272728,-12.072092460105887
2019,La Victoria,85,-8572703.80254659,-1353756.6808259361,35,-77.00990852057141,-12.070709663805276
2019,La Victoria,86,-8572739.46862166,-1352622.7952577106,16,-77.01022891437502,-12.060748818128884
2019,La Victoria,87,-8572645.267243816,-1353440.4548116766,10,-77.00938268899999,-12.06793175004726
2019,La Victoria,88,-8572671.668330852,-1352671.7527906906,10,-77.00961985400001,-12.061178903062627
2019,La Victoria,89,-8572559.225428496,-1352606.150179293,9,-77.00860976222224,-12.060602593335581
2019,La Victoria,90,-8572634.725747231,-1353550.1530865773,16,-77.009287993125,-12.06889540694119
2019,La Victoria,91,-8572598.500181729,-1353707.0793971093,36,-77.00896257333333,-12.070273937827219
2019,La Victoria,92,-8572772.9607886,-1353249.55647153,27,-77.01052977962962,-12.066254773741232
2019,La Victoria,93,-8572333.55203501,-1353028.133553881,11,-77.00658250363635,-12.064309636370282
2019,La Victoria,94,-8572467.441657977,-1353096.0802299718,24,-77.00778525458333,-12.064906530100515
2019,La Victoria,95,-8572714.651680551,-1352792.0058388936,22,-77.01000597999999,-12.06223530598503
